uuid,f_address,Match_addr,Longitude,Latitude,Addr_type,Score,Status,Region,RegionAbbr,Subregion,MetroArea,City,Nbrhd,geometry,Match_type,LongLabel,ShortLabel,Type,PlaceName,Place_addr,Phone,URL,Rank,AddBldg,AddNum,AddNumFrom,AddNumTo,AddRange,Side,StPreDir,StPreType,StName,StType,StDir,BldgType,BldgName,LevelType,LevelName,UnitType,UnitName,SubAddr,StAddr,Block,Sector,District,Territory,Zone,Postal,PostalExt,Country,LangCode,Distance,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax,ExInfo
1, ,,0.0,0.0,,0.0,U,,,,,,,,A,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2, ,,0.0,0.0,,0.0,U,,,,,,,,A,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3, ,,0.0,0.0,,0.0,U,,,,,,,,A,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4,"Birmingham, AL","Birmingham, Alabama",-86.81175999999994,33.52068000000003,Locality,100.0,M,Alabama,AL,Jefferson County,,Birmingham,,POINT (-86.81175999999994 33.52068000000003),A,"Birmingham, AL, USA",Birmingham,City,Birmingham,"Birmingham, Alabama",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-86.81175999999994,33.52068000000003,-87.01975999999993,-86.60375999999994,33.31268000000003,33.728680000000026,
5,"Mobile, AL","Mobile, Alabama",-88.05296999999996,30.686480000000074,Locality,100.0,T,Alabama,AL,Mobile County,,Mobile,,POINT (-88.05296999999996 30.68648000000007),A,"Mobile, AL, USA",Mobile,City,Mobile,"Mobile, Alabama",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-88.05296999999996,30.686480000000074,-88.21296999999996,-87.89296999999996,30.526480000000074,30.846480000000074,
6,"Hoover, AL","Hoover, Alabama",-86.80602999999996,33.38791000000003,Locality,100.0,T,Alabama,AL,Jefferson County,,Hoover,,POINT (-86.80602999999996 33.38791000000003),A,"Hoover, AL, USA",Hoover,City,Hoover,"Hoover, Alabama",,,8.23,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-86.80602999999996,33.38791000000003,-86.92402999999996,-86.68802999999997,33.26991000000003,33.505910000000036,
7,"Montgomery, AL","Montgomery, Alabama",-86.30007999999998,32.38015000000007,Locality,100.0,T,Alabama,AL,Montgomery County,,Montgomery,,POINT (-86.30007999999998 32.38015000000007),A,"Montgomery, AL, USA",Montgomery,City,Montgomery,"Montgomery, Alabama",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-86.30007999999998,32.38015000000007,-86.44007999999998,-86.16007999999998,32.24015000000007,32.52015000000007,
8,"Bentonville, AR","Bentonville, Arkansas",-94.20948999999996,36.372330000000034,Locality,100.0,M,Arkansas,AR,Benton County,,Bentonville,,POINT (-94.20948999999996 36.37233000000003),A,"Bentonville, AR, USA",Bentonville,City,Bentonville,"Bentonville, Arkansas",,,8.81,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-94.20948999999996,36.372330000000034,-94.28848999999995,-94.13048999999997,36.29333000000003,36.451330000000034,
9,"Chandler, AZ","Chandler, Arizona",-111.84082999999998,33.30338000000006,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Chandler,,POINT (-111.84083 33.30338000000006),A,"Chandler, AZ, USA",Chandler,City,Chandler,"Chandler, Arizona",,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-111.84082999999998,33.30338000000006,-111.93482999999998,-111.74682999999999,33.20938000000006,33.39738000000006,
10,"Phoenix, AZ","Phoenix, Arizona",-112.07579999999996,33.44825000000003,Locality,100.0,M,Arizona,AZ,Maricopa County,Phoenix Metro Area,Phoenix,,POINT (-112.0758 33.44825000000003),A,"Phoenix, AZ, USA",Phoenix,City,Phoenix,"Phoenix, Arizona",,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,ENG,0.0,-112.07579999999996,33.44825000000003,-112.33279999999996,-111.81879999999995,33.19125000000003,33.70525000000003,
